contacto,periodo,categoria,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_cgpc,domicilio_barrio,domicilio_calle,domicilio_altura,canal,genero,estado_del_contacto,fecha_cierre_contacto
174,201907,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,02/07/2019,10:37:23 a.m.,COMUNA 1,RETIRO,SANTA FE AV.,968,147,masculino,Cerrado,04/07/2019
175,201907,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,02/07/2019,12:00:50 p.m.,COMUNA 5,BOEDO,PAVON AV.,3823,147,femenino,Cerrado,05/07/2019
176,201907,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,04/07/2019,03:07:02 p.m.,COMUNA 9,MATADEROS,CAFAYATE,1358,Comunas,femenino,Cerrado,06/07/2019
177,201907,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,05/07/2019,01:02:55 p.m.,COMUNA 13,NUÑEZ,O'HIGGINS,4679,147,masculino,Cerrado,12/07/2019
178,201907,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,05/07/2019,03:47:25 p.m.,COMUNA 14,PALERMO,GUEMES,4550,147,femenino,Cerrado,11/07/2019
179,201907,TRANSITO - REPARACION DE SEÑAL DE TRANSITO,SOLICITUD,06/07/2019,08:34:38 p.m.,COMUNA 14,PALERMO,SANTA FE AV.,4700,147,masculino,Abierto,
180,201907,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,08/07/2019,04:32:10 p.m.,COMUNA 4,NUEVA POMPEYA,MATANZA,3069,147,femenino,Cerrado,13/07/2019
181,201907,TRANSITO - DENUNCIA VIAL,DENUNCIA,09/07/2019,10:07:08 p.m.,COMUNA 10,MONTE CASTRO,SANTO TOME,5496,App,masculino,Cerrado,12/07/2019
182,201907,TRANSITO - DENUNCIA VIAL,DENUNCIA,12/07/2019,10:39:21 a.m.,COMUNA 12,SAAVEDRA,GARCIA DEL RIO AV.,2417,App,femenino,Cerrado,15/07/2019
183,201907,ARBOLADO Y ESPACIOS VERDES - PODA DE ARBOL Y DESPEJE DE LUMINARIA,SOLICITUD,12/07/2019,01:50:23 p.m.,COMUNA 4,PARQUE PATRICIOS,CATAMARCA,1925,147,femenino,Cerrado,18/07/2019
184,201907,TRAMITES Y SERVICIOS - SERVICIOS DEL GCBA,SERVICIO,12/07/2019,04:48:12 p.m.,COMUNA 9,PARQUE AVELLANEDA,WHITE,2200,Web,masculino,Cerrado,15/07/2019
185,201907,TRANSITO - DENUNCIA VIAL,DENUNCIA,14/07/2019,12:12:51 a.m.,COMUNA 13,BELGRANO,ARCOS,1550,App,masculino,Cerrado,15/07/2019
186,201907,TRANSITO - DENUNCIA VIAL,DENUNCIA,14/07/2019,06:54:54 p.m.,COMUNA 2,RECOLETA,FRENCH,2482,App,femenino,Cerrado,16/07/2019
187,201907,CALLES Y VEREDAS - MOBILIARIO URBANO,SOLICITUD,16/07/2019,11:03:48 a.m.,COMUNA 12,VILLA PUEYRREDON,CARACAS,5369,Web,masculino,Cerrado,15/10/2019
188,201907,TRANSITO - DENUNCIA VIAL,DENUNCIA,16/07/2019,07:35:09 p.m.,COMUNA 12,VILLA URQUIZA,MONROE,4650,App,masculino,Cerrado,18/07/2019
189,201907,TRANSITO - DENUNCIA VIAL,DENUNCIA,17/07/2019,03:04:37 p.m.,COMUNA 13,BELGRANO,MENDOZA,1600,App,femenino,Cerrado,20/07/2019
190,201907,TRANSITO - DENUNCIA VIAL,DENUNCIA,18/07/2019,01:05:44 p.m.,COMUNA 14,PALERMO,EL SALVADOR,,App,femenino,Cerrado,22/07/2019
191,201907,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,19/07/2019,08:54:36 p.m.,COMUNA 4,PARQUE PATRICIOS,ALBERTI,2195,147,masculino,Cerrado,23/07/2019
192,201907,LIMPIEZA Y RECOLECCION - LIMPIEZA DE VIA PUBLICA,SOLICITUD,20/07/2019,03:38:58 p.m.,COMUNA 15,VILLA CRESPO,CUCHA CUCHA,1760,App,femenino,Cerrado,22/07/2019
193,201907,LIMPIEZA Y RECOLECCION - CESTOS Y CONTENEDORES,SOLICITUD,25/07/2019,01:11:05 p.m.,COMUNA 14,PALERMO,GURRUCHAGA,2070,147,masculino,Abierto,
194,201907,CALLES Y VEREDAS - REPARACION DE VEREDA,SOLICITUD,25/07/2019,02:21:12 p.m.,COMUNA 9,LINIERS,EL CARPINTERO,6987,147,femenino,Abierto,
195,201907,ARBOLADO Y ESPACIOS VERDES - PROBLEMA CON INTERVENCIONES DE ARBOLADO,SOLICITUD,27/07/2019,06:47:42 p.m.,COMUNA 12,COGHLAN,IBERA,3516,App,masculino,Abierto,
196,201907,ALUMBRADO - REPARACION DE LUMINARIA,SOLICITUD,29/07/2019,11:14:35 p.m.,COMUNA 5,ALMAGRO,BOEDO,243,App,femenino,Cerrado,01/08/2019
197,201907,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,31/07/2019,11:52:40 a.m.,COMUNA 15,VILLA CRESPO,LAVALLEJA,258,147,femenino,Cerrado,02/08/2019
198,201907,TRANSITO - DENUNCIA VIAL,DENUNCIA,31/07/2019,04:16:01 p.m.,COMUNA 7,PARQUE CHACABUCO,SENILLOSA,957,App,masculino,Cerrado,05/08/2019
199,201908,TRANSITO - DENUNCIA VIAL,DENUNCIA,02/08/2019,01:02:12 p.m.,COMUNA 14,PALERMO,URIARTE,1465,App,femenino,Cerrado,05/08/2019
200,201908,TRANSITO - DENUNCIA VIAL,DENUNCIA,04/08/2019,08:00:41 p.m.,COMUNA 14,PALERMO,FRAY JUSTO SANTAMARIA DE ORO,2671,147,masculino,Cerrado,05/08/2019
201,201908,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,08/08/2019,09:34:49 p.m.,COMUNA 3,SAN CRISTOBAL,DEAN FUNES,1025,Web,femenino,Cerrado,10/08/2019
202,201908,ARBOLADO Y ESPACIOS VERDES - PODA DE ARBOL Y DESPEJE DE LUMINARIA,SOLICITUD,09/08/2019,07:18:30 a.m.,COMUNA 11,VILLA DEVOTO,DESAGUADERO,3483,147,femenino,Cerrado,14/08/2019
203,201908,TRANSITO - DENUNCIA VIAL,DENUNCIA,09/08/2019,12:42:35 p.m.,COMUNA 2,RECOLETA,PEÑA,,App,femenino,Cerrado,10/08/2019
204,201908,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,09/08/2019,04:09:03 p.m.,COMUNA 13,BELGRANO,MONTAÑESES,2423,Web,femenino,Cerrado,13/08/2019
205,201908,ALUMBRADO - REPARACION DE LUMINARIA,SOLICITUD,09/08/2019,06:45:03 p.m.,COMUNA 14,PALERMO,COSTA RICA,3910,Web,otro,Cerrado,14/08/2019
206,201908,TRANSITO - DENUNCIA VIAL,DENUNCIA,10/08/2019,02:17:56 a.m.,COMUNA 13,BELGRANO,OLAZABAL,,App,masculino,Cerrado,12/08/2019
207,201908,ALUMBRADO - REPARACION DE EQUIPAMIENTO DE ALUMBRADO,SOLICITUD,12/08/2019,03:31:43 p.m.,COMUNA 11,VILLA GRAL. MITRE,TRES ARROYOS,2373,147,femenino,Abierto,
208,201908,TRANSITO - DENUNCIA VIAL,DENUNCIA,14/08/2019,07:54:54 a.m.,COMUNA 6,CABALLITO,CUCHA CUCHA,1484,App,masculino,Cerrado,16/08/2019
209,201908,TRANSITO - DENUNCIA VIAL,DENUNCIA,14/08/2019,11:01:37 a.m.,COMUNA 9,LINIERS,COSQUIN,125,App,masculino,Cerrado,16/08/2019
210,201908,TRANSITO - DENUNCIA VIAL,DENUNCIA,14/08/2019,07:46:40 p.m.,COMUNA 5,ALMAGRO,RAWSON,251,App,femenino,Cerrado,16/08/2019
211,201908,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,15/08/2019,11:24:30 a.m.,COMUNA 9,MATADEROS,ARAUJO,2140,147,masculino,Abierto,
212,201908,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,16/08/2019,12:54:30 p.m.,COMUNA 7,FLORES,AVELLANEDA AV.,2833,147,masculino,Cerrado,20/08/2019
213,201908,TRANSITO - DENUNCIA VIAL,DENUNCIA,23/08/2019,05:57:02 p.m.,COMUNA 5,ALMAGRO,DON BOSCO,3710,App,masculino,Cerrado,26/08/2019
214,201908,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,24/08/2019,10:41:11 p.m.,COMUNA 15,PARQUE CHAS,ARISMENDI,2706,Web,femenino,Cerrado,29/08/2019
215,201908,TRANSITO - DENUNCIA VIAL,DENUNCIA,27/08/2019,11:18:42 a.m.,COMUNA 5,ALMAGRO,GASCON,467,App,masculino,Cerrado,28/08/2019
216,201908,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,27/08/2019,11:35:48 a.m.,COMUNA 12,SAAVEDRA,GARCIA DEL RIO AV.,2761,147,femenino,Cerrado,29/08/2019
217,201908,LIMPIEZA Y RECOLECCION - CESTOS Y CONTENEDORES,SOLICITUD,28/08/2019,08:32:14 p.m.,COMUNA 12,VILLA PUEYRREDON,DEL FOMENTISTA AV.,3255,147,femenino,Cerrado,31/08/2019
218,201908,TRANSITO - DENUNCIA VIAL,DENUNCIA,30/08/2019,01:12:00 p.m.,COMUNA 12,VILLA URQUIZA,BUCARELLI,2259,App,femenino,Cerrado,06/09/2019
