contacto,periodo,categoria,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_cgpc,domicilio_barrio,domicilio_calle,domicilio_altura,canal,genero,estado_del_contacto,fecha_cierre_contacto
77,201903,CALLES Y VEREDAS - REPARACION DE VEREDA,SOLICITUD,23/03/2019,12:37:21 p.m.,COMUNA 12,VILLA PUEYRREDON,SANTOS VEGA,5842,147,femenino,Abierto,
78,201903,TRANSITO - DENUNCIA VIAL,DENUNCIA,25/03/2019,10:07:21 a.m.,COMUNA 6,CABALLITO,BEAUCHEF,210,App,masculino,Cerrado,29/03/2019
79,201903,LIMPIEZA Y RECOLECCION - CESTOS Y CONTENEDORES,SOLICITUD,25/03/2019,03:24:05 p.m.,COMUNA 15,PARQUE CHAS,BERLIN,3994,147,femenino,Cerrado,08/04/2019
80,201903,CALLES Y VEREDAS - REPARACION DE VEREDA,SOLICITUD,26/03/2019,01:57:36 p.m.,COMUNA 4,PARQUE PATRICIOS,24 DE NOVIEMBRE,,147,femenino,Cerrado,29/04/2019
81,201903,TRANSITO - DENUNCIA VIAL,DENUNCIA,26/03/2019,08:22:18 p.m.,COMUNA 2,RECOLETA,AYACUCHO,1240,App,masculino,Cerrado,01/04/2019
82,201903,TRANSITO - DENUNCIA VIAL,DENUNCIA,27/03/2019,07:43:14 a.m.,COMUNA 14,PALERMO,PRINGLES,1395,App,masculino,Cerrado,01/04/2019
83,201903,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,27/03/2019,04:20:37 p.m.,COMUNA 3,SAN CRISTOBAL,COMBATE DE LOS POZOS,1070,147,femenino,Cerrado,29/03/2019
84,201903,TRANSITO - DENUNCIA VIAL,DENUNCIA,27/03/2019,11:27:26 p.m.,COMUNA 13,COLEGIALES,AMENABAR,1344,App,femenino,Cerrado,03/04/2019
85,201903,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,28/03/2019,09:41:21 a.m.,COMUNA 12,VILLA URQUIZA,QUESADA,4666,147,masculino,Cerrado,01/04/2019
86,201903,CALLES Y VEREDAS - REPARACION DE VEREDA,SOLICITUD,28/03/2019,12:15:35 p.m.,COMUNA 9,MATADEROS,PRIMERA JUNTA,5678,147,masculino,Abierto,
87,201903,TRANSITO - DENUNCIA VIAL,DENUNCIA,29/03/2019,01:44:42 p.m.,COMUNA 14,PALERMO,HONDURAS,4739,App,masculino,Cerrado,04/04/2019
88,201903,TRANSITO - DENUNCIA VIAL,DENUNCIA,31/03/2019,10:21:34 a.m.,COMUNA 9,LINIERS,OLIDEN,811,App,femenino,Cerrado,08/04/2019
89,201904,LIMPIEZA Y RECOLECCION - LIMPIEZA DE VIA PUBLICA,SOLICITUD,03/04/2019,03:53:38 p.m.,COMUNA 6,CABALLITO,CHACO,,147,femenino,Cerrado,05/09/2019
90,201904,LIMPIEZA Y RECOLECCION - CESTOS Y CONTENEDORES,SOLICITUD,03/04/2019,07:36:42 p.m.,COMUNA 12,SAAVEDRA,BESARES,3471,147,femenino,Cerrado,10/04/2019
91,201904,ARBOLADO Y ESPACIOS VERDES - PODA DE ARBOL Y DESPEJE DE LUMINARIA,SOLICITUD,04/04/2019,08:26:09 a.m.,COMUNA 14,PALERMO,FRAY JUSTO SANTAMARIA DE ORO,2255,Web,femenino,Cerrado,10/04/2019
92,201904,TRANSITO - DENUNCIA VIAL,DENUNCIA,04/04/2019,11:01:12 a.m.,COMUNA 6,CABALLITO,GUAYAQUIL,,App,masculino,Cerrado,10/04/2019
93,201904,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,09/04/2019,12:49:36 p.m.,COMUNA 9,MATADEROS,SAN PEDRO,6819,Comunas,femenino,Abierto,
94,201904,ARBOLADO Y ESPACIOS VERDES - PLANTACION DE ARBOL,SOLICITUD,09/04/2019,03:18:40 p.m.,COMUNA 9,LINIERS,RIVADAVIA AV.,,147,femenino,Abierto,
95,201904,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,09/04/2019,04:12:45 p.m.,COMUNA 5,ALMAGRO,CASTRO BARROS AV.,86,147,masculino,Cerrado,11/04/2019
96,201904,ALUMBRADO - REPARACION DE LUMINARIA,SOLICITUD,10/04/2019,07:51:36 p.m.,COMUNA 14,PALERMO,SAN BENITO DE PALERMO,1580,147,femenino,Cerrado,15/04/2019
